ID,employee_id,camera_no,confidence,name,time,branch_id,status
182885,2012062106,3,0.69,,2024-12-02 11:45:15,,1
182886,2023083104,3,0.63,,2024-12-02 11:45:23,,1
182887,2011040702,3,0.63,,2024-12-02 11:47:22,,1
182888,2011090401,3,0.64,,2024-12-02 11:47:55,,1
182889,2018040101,3,0.67,,2024-12-02 11:48:10,,1
182890,2008121103,0,0.64,,2024-12-02 11:49:28,,1
182891,2008121103,3,0.65,,2024-12-02 11:52:50,,1
182892,2012050701,1,0.65,,2024-12-02 11:53:45,,1
182893,2011040702,0,0.65,,2024-12-02 11:55:25,,1
182894,2011040702,3,0.65,,2024-12-02 11:57:43,,1
182895,2022033101,3,0.67,,2024-12-02 11:59:37,,1
182896,2009073003,3,0.7,,2024-12-02 12:01:25,,1
182897,2009073003s,1,0.73,,2024-12-02 12:01:25,,1
182898,2013051303,3,0.67,,2024-12-02 12:03:41,,1
182899,2013040701,3,0.64,,2024-12-02 12:03:42,,1
182900,2016011901,0,0.65,,2024-12-02 12:04:36,,1
182901,2006120301,2,0.64,,2024-12-02 12:08:24,,1
182902,2006120301,0,0.67,,2024-12-02 12:08:25,,1
182903,2008121103,0,0.67,,2024-12-02 12:09:43,,1
182904,2008121103,2,0.65,,2024-12-02 12:09:47,,1
182905,2006120301,3,0.64,,2024-12-02 12:10:33,,1
182906,2006120301,1,0.63,,2024-12-02 12:10:34,,1
182907,2008121103,2,0.66,,2024-12-02 12:11:44,,1
182908,2024031206,3,0.66,,2024-12-02 12:12:43,,1
182909,2007053106,3,0.64,,2024-12-02 12:13:12,,1
182910,2023031406,3,0.7,,2024-12-02 12:17:44,,1
182911,2019031001,3,0.76,,2024-12-02 12:18:17,,1
182912,2012110104,3,0.67,,2024-12-02 12:22:27,,1
182913,2012011802,1,0.67,,2024-12-02 12:23:09,,1
182914,2022062701,0,0.75,,2024-12-02 12:23:12,,1
182915,2011051501,1,0.65,,2024-12-02 12:23:59,,1
182916,2018042227s,3,0.7,,2024-12-02 12:25:04,,1
182917,2012030109,0,0.65,,2024-12-02 12:26:41,,1
182918,2018042227s,1,0.69,,2024-12-02 12:32:04,,1
182919,2022062701,3,0.72,,2024-12-02 12:32:33,,1
182920,2024021201t,1,0.64,,2024-12-02 12:33:07,,1
182921,2006051004,0,0.72,,2024-12-02 12:37:00,,1
182922,2023043010,1,0.65,,2024-12-02 12:42:50,,1
182923,2022080102,3,0.75,,2024-12-02 12:44:28,,1
182924,2021040801s,3,0.73,,2024-12-02 12:46:32,,1
182925,2021062102,3,0.67,,2024-12-02 12:48:17,,1
182926,2020062302,1,0.67,,2024-12-02 12:48:20,,1
182927,2021062102,1,0.7,,2024-12-02 12:48:20,,1
182928,2021080501,1,0.68,,2024-12-02 12:50:15,,1
182929,2011051501,0,0.67,,2024-12-02 12:53:44,,1
182930,2011051501,2,0.68,,2024-12-02 12:53:44,,1
182931,2024021201t,2,0.72,,2024-12-02 12:53:55,,1
182932,2012110801,1,0.66,,2024-12-02 12:54:35,,1
182933,2024020502,3,0.63,,2024-12-02 12:54:39,,1
182934,2001061301,0,0.71,,2024-12-02 12:55:47,,1
182935,2013121201,3,0.71,,2024-12-02 12:56:58,,1
182936,2017120301s,1,0.72,,2024-12-02 12:57:25,,1
182937,2019082515,3,0.67,,2024-12-02 12:57:27,,1
182938,2021112601,1,0.68,,2024-12-02 12:58:28,,1
182939,2009090201,2,0.71,,2024-12-02 13:02:58,,1
182940,2024020502,1,0.71,,2024-12-02 13:04:46,,1
182941,2019090119s,2,0.67,,2024-12-02 13:05:50,,1
182942,2019010105s,3,0.65,,2024-12-02 13:06:22,,1
182943,2022080302,3,0.64,,2024-12-02 13:15:55,,1
182944,2022080302,2,0.64,,2024-12-02 13:18:47,,1
182945,2022041201,0,0.64,,2024-12-02 13:19:15,,1
182946,2021050601,3,0.72,,2024-12-02 13:31:54,,1
182947,2013061201s,1,0.65,,2024-12-02 13:32:06,,1
182948,2020070204,2,0.81,,2024-12-02 13:32:09,,1
182949,2016013101,1,0.63,,2024-12-02 13:38:05,,1
182950,2022080302,3,0.64,,2024-12-02 13:40:43,,1
182951,2012030109,3,0.73,,2024-12-02 13:43:15,,1
182952,2022080302,2,0.66,,2024-12-02 13:44:26,,1
182953,2013040701,0,0.7,,2024-12-02 13:46:06,,1
182954,2022101802s,3,0.73,,2024-12-02 13:48:02,,1
182955,2024070703,3,0.63,,2024-12-02 13:48:55,,1
182956,2022110101,0,0.66,,2024-12-02 13:49:31,,1
182957,2006050701,3,0.72,,2024-12-02 13:49:44,,1
182958,2006050701,3,0.7,,2024-12-02 13:49:44,,1
182959,2007060401,0,0.69,,2024-12-02 13:52:18,,1
182960,2020070204,3,0.7,,2024-12-02 13:53:40,,1
182961,2017081603s,3,0.67,,2024-12-02 13:56:41,,1
182962,2021070503,1,0.71,,2024-12-02 14:03:02,,1
182963,2021060104,0,0.7,,2024-12-02 14:04:01,,1
182964,2023043010,0,0.63,,2024-12-02 14:04:14,,1
182965,2015012903s,3,0.68,,2024-12-02 14:04:21,,1
182966,2022110101,3,0.69,,2024-12-02 14:04:52,,1
182967,2013050202,1,0.66,,2024-12-02 14:05:09,,1
182968,2013050202,3,0.64,,2024-12-02 14:05:09,,1
182969,2004070701,0,0.64,,2024-12-02 14:10:31,,1
182970,2017021202,0,0.65,,2024-12-02 14:17:48,,1
182971,2012091901,3,0.68,,2024-12-02 14:18:35,,1
182972,2016082901,0,0.64,,2024-12-02 14:19:00,,1
182973,2023110104,3,0.66,,2024-12-02 14:23:09,,1
182974,2019082510s,3,0.64,,2024-12-02 14:27:36,,1
182975,2022032816,0,0.69,,2024-12-02 14:32:33,,1
182976,2004070701,3,0.7,,2024-12-02 14:35:43,,1
182977,2006110115,3,0.66,,2024-12-02 14:36:37,,1
182978,2008042701,3,0.68,,2024-12-02 14:40:51,,1
182979,2021100401,3,0.63,,2024-12-02 14:42:19,,1
182980,2021112601,0,0.65,,2024-12-02 14:45:41,,1
182981,2012110104,3,0.7,,2024-12-02 14:46:48,,1
182982,2019120101s,3,0.66,,2024-12-02 14:48:40,,1
182983,2013040701,3,0.69,,2024-12-02 14:50:38,,1
182984,2012080703,2,0.64,,2024-12-02 14:54:42,,1
182985,2024031206,1,0.65,,2024-12-02 14:55:43,,1
182986,2021112601,3,0.66,,2024-12-02 14:58:03,,1
182987,2019120101s,3,0.74,,2024-12-02 14:58:17,,1
182988,2024071001,3,0.64,,2024-12-02 14:58:54,,1
182989,2022033101,1,0.64,,2024-12-02 14:59:28,,1
182990,2022033101,3,0.69,,2024-12-02 14:59:29,,1
182991,2023010108,3,0.68,,2024-12-02 15:01:35,,1
182992,2022090103,3,0.66,,2024-12-02 15:07:11,,1
182993,2012080601,3,0.64,,2024-12-02 15:08:05,,1
182994,2020101202,0,0.64,,2024-12-02 15:10:34,,1
182995,2020101202,0,0.64,,2024-12-02 15:11:01,,1
182996,2020101202,0,0.83,,2024-12-02 15:11:15,,1
182997,2020101202,0,0.69,,2024-12-02 15:11:37,,1
182998,2012123001s,3,0.63,,2024-12-02 15:11:55,,1
182999,2001060102,3,0.75,,2024-12-02 15:13:23,,1
183000,2012110105,1,0.63,,2024-12-02 15:16:12,,1
183001,2001061301,3,0.64,,2024-12-02 15:16:29,,1
183002,2023012503,0,0.72,,2024-12-02 15:16:49,,1
183003,2008042006s,3,0.64,,2024-12-02 15:18:38,,1
183004,2022110101,3,0.65,,2024-12-02 15:18:38,,1
183005,2022090403,1,0.71,,2024-12-02 15:18:40,,1
183006,2022090403,3,0.67,,2024-12-02 15:18:41,,1
183007,2017122802,2,0.65,,2024-12-02 15:19:17,,1
183008,2005020101,3,0.66,,2024-12-02 15:21:35,,1
183009,20130226001,3,0.65,,2024-12-02 15:21:36,,1
183010,2017100901,3,0.64,,2024-12-02 15:24:28,,1
183011,2014071513,3,0.65,,2024-12-02 15:25:23,,1
183012,2007052301,2,0.7,,2024-12-02 15:26:14,,1
183013,2012091901,3,0.67,,2024-12-02 15:26:36,,1
183014,2021060104,0,0.67,,2024-12-02 15:28:58,,1
183015,2023041003,3,0.67,,2024-12-02 15:31:46,,1
183016,2023012503,3,0.73,,2024-12-02 15:34:09,,1
183017,2012030109,0,0.64,,2024-12-02 15:34:30,,1
183018,2012030109,2,0.64,,2024-12-02 15:34:33,,1
183019,2023022202,0,0.66,,2024-12-02 15:34:35,,1
183020,2022120801,3,0.67,,2024-12-02 15:34:38,,1
